Entity,Time,key,BestEfficiencyFlowRate_operatingRange,BestEfficiencyInsituFlowRate_operatingRange,DifferentialPressure_pumpCurve,ESPCurrent_IPR_VLP,ESPPower_IPR_VLP,Efficiency_pumpCurve,FlowRate_pumpCurve,GasRate_IPR_VLP,Head_pumpCurve,HorsePower_pumpCurve,InflowPressure_IPR_VLP,InsituFlowRate_pumpCurve,InsituVaporLiquidRatio_lowerGasiness,InsituVaporLiquidRatio_pumpIntakeGassiness,InsituVaporLiquidRatio_upperGasiness,MaximumFlowRate_operatingRange,MaximumInsituFlowRate_operatingRange,MinimumFlowRate_operatingRange,MinimumInsituFlowRate_operatingRange,OilRate_IPR_VLP,OutflowPressure_IPR_VLP,PumpIntakePressure_lowerGasiness,PumpIntakePressure_pumpIntakeGassiness,PumpIntakePressure_upperGasiness,Rate_IPR_VLP,DifferentialPressure_WellCurve,FlowRate_WellCurve,Head_WellCurve,InsituFlowRate_WellCurve
"ESP_CGCS_WL20_C",,23,,,,,,,,,,,,,0.1675,,0.335,,,,,,,295.69,,295.69,,,,,
"ESP_CGCS_WL20_C",,24,,,,,,,,,,,,,0.19,,0.38,,,,,,,320.09,,320.09,,,,,
"ESP_CGCS_WL20_C",,25,,,,,,,,,,,,,0.2125,,0.425,,,,,,,343.44,,343.44,,,,,
"ESP_CGCS_WL20_C",,26,,,,,,,,,,,,,0.235,,0.47,,,,,,,365.89,,365.89,,,,,
"ESP_CGCS_WL20_C",,27,,,,,,,,,,,,,0.2575,,0.515,,,,,,,387.55,,387.55,,,,,
"ESP_CGCS_WL20_C",,28,,,,,,,,,,,,,0.28,,0.56,,,,,,,408.52,,408.52,,,,,
"ESP_CGCS_WL20_C",,29,,,,,,,,,,,,,0.3025,,0.605,,,,,,,428.88,,428.88,,,,,
"ESP_CGCS_WL20_C",,30,,,,,,,,,,,,,0.325,,0.65,,,,,,,448.68,,448.68,,,,,
"ESP_CGCS_WL20_C",,31,,,,,,,,,,,,,0.3475,,0.695,,,,,,,467.98,,467.98,,,,,
"ESP_CGCS_WL20_C",,32,,,,,,,,,,,,,0.37,,0.74,,,,,,,486.82,,486.82,,,,,
"ESP_CGCS_WL20_C",,33,,,,,,,,,,,,,0.3925,,0.785,,,,,,,505.24,,505.24,,,,,
"ESP_CGCS_WL20_C",,34,,,,,,,,,,,,,0.415,,0.83,,,,,,,523.27,,523.27,,,,,
"ESP_CGCS_WL20_C",,35,,,,,,,,,,,,,0.4375,,0.875,,,,,,,540.94,,540.94,,,,,
"ESP_CGCS_WL20_C",,36,,,,,,,,,,,,,0.46,,0.92,,,,,,,558.28,,558.28,,,,,
"ESP_CGCS_WL20_C",,37,,,,,,,,,,,,,0.4825,,0.965,,,,,,,575.31,,575.31,,,,,
"ESP_CGCS_WL20_C",,38,,,,,,,,,,,,,0.505,,1,,,,,,,592.04,,588.35,,,,,
"ESP_CGCS_WL21_C",,12,,,,,,,,,,,,,0.06,,0.12,,,,,,,155.01,,155.01,,,,,
"ESP_CGCS_WL21_C",,13,,,,,,,,,,,,,0.065,,0.13,,,,,,,163.01,,163.01,,,,,
"ESP_CGCS_WL21_C",,14,,,,,,,,,,,,,0.07,,0.14,,,,,,,170.79,,170.79,,,,,
"ESP_CGCS_WL21_C",,15,,,,,,,,,,,,,0.075,,0.15,,,,,,,178.37,,178.37,,,,,
"ESP_CGCS_WL21_C",,16,,,,,,,,,,,,,0.08,,0.16,,,,,,,185.76,,185.76,,,,,
